run,ebeam,target,hms_p,hms_th,shms_p,shms_th,run_type,x,Q2,z,thpq,BCM1_Q,BCM1_I,BCM2_Q,BCM2_I,BCM4A_Q,BCM4A_I,BCM4B_Q,BCM4B_I,BCM4C_Q,BCM4C_I,h_esing_Eff,h_hadron_Eff,p_esing_Eff,p_hadron_Eff,ps1,ps2,ps3,ps4,ps5,ps6,comp_livetime,electr_deadtime,coin,randoms,ransubcoin,normyield,normyield_err,ctmean,ctsigma,boil_corr,h_EL_CLEAN,p_EL_CLEAN
27140,6.449,LH2,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,50.084,27.772,49.917,27.68,44.078,24.442,271.79,150.71,68.655,38.071,0.9979,0.9969,0.9831,0.9751,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,1264.0,428.615,835.385,17.2648,0.744285,51.2414,0.403273,1.0,-999,277.6
27141,6.449,LH2,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,50.787,27.737,50.577,27.623,44.411,24.255,275.19,150.29,69.144,37.763,0.9979,0.997,0.9834,0.975,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,1277.0,444.154,832.846,16.9897,0.73867,51.3125,0.442923,1.0,-999,276.7
27142,6.449,LH2,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,51.764,28.061,51.512,27.924,45.268,24.539,280.45,152.02,70.551,38.245,0.9982,0.9967,0.984,0.9734,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,1252.0,460.385,791.615,15.8767,0.719623,51.2817,0.393068,1.0,-999,279.6
27143,6.449,LH2,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,50.609,27.834,50.38,27.708,44.569,24.512,274.49,150.96,69.519,38.234,0.9978,0.9973,0.984,0.974,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,1279.0,431.077,847.923,17.3842,0.742663,51.219,0.413083,1.0,-999,277.6
27144,6.449,LH2,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,49.546,27.863,49.35,27.753,43.59,24.513,268.16,150.8,67.892,38.18,0.9979,0.9967,0.9831,0.9741,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,1257.0,427.692,829.308,17.3543,0.75157,51.2274,0.384805,1.0,-999,278.2
27145,6.449,LH2,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,45.027,27.783,44.873,27.688,39.447,24.34,243.74,150.39,61.407,37.889,0.9982,0.9966,0.9838,0.9726,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,1187.0,391.231,795.769,18.3369,0.803897,51.3312,0.440456,1.0,-999,277.5
27146,6.449,LH2,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,57.026,27.751,56.805,27.643,49.974,24.319,309.12,150.43,77.896,37.907,0.9978,0.997,0.9818,0.975,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,1455.0,500.846,954.154,17.3322,0.702008,51.2595,0.403022,1.0,-999,277.1
27147,6.449,LH2,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,51.043,28.111,50.797,27.976,44.99,24.777,276.01,152.0,70.17,38.645,0.9982,0.9969,0.9828,0.9753,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,1284.0,447.385,836.615,16.9825,0.737059,51.2384,0.406447,1.0,-999,280.6
27148,6.449,LH2,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,11.328,27.418,11.276,27.293,9.975,24.144,61.431,148.68,15.538,37.607,0.9983,0.9972,0.9821,0.9715,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,304.0,101.923,202.077,18.5518,1.62119,51.2477,0.39729,1.0,0.789,273.8
27149,6.449,LH2,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,31.6,28.008,31.463,27.887,27.698,24.549,171.04,151.59,43.111,38.211,0.9978,0.9962,0.9818,0.972,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,824.0,278.615,545.385,17.9414,0.956518,51.2519,0.434618,1.0,0.806,279.8
27150,6.449,DUMMY,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,72.902,40.782,72.639,40.635,63.804,35.692,268.01,149.93,99.362,55.584,0.9988,0.9972,0.9843,0.9781,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,536.0,124.846,411.154,5.80885,0.330008,51.3129,0.385331,1.0,0.413,164.8
27151,6.449,DUMMY,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,71.191,41.481,70.959,41.346,62.229,36.26,260.82,151.97,96.951,56.491,0.9987,0.9972,0.9879,0.9749,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,479.0,129.692,349.308,5.06888,0.320884,51.3196,0.395766,1.0,0.42,167.6
27152,6.449,DUMMY,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,60.845,41.348,60.587,41.173,53.442,36.317,222.77,151.38,83.393,56.671,0.9989,0.9974,0.9857,0.9781,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,413.0,109.615,303.385,5.13833,0.34769,51.2576,0.345925,1.0,0.419,167.0
27153,6.449,LH2,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,16.183,28.041,16.104,27.903,14.251,24.693,87.675,151.91,22.236,38.528,0.998,0.9969,0.984,0.9734,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,414.0,139.308,274.692,17.6272,1.32247,51.2236,0.411848,1.0,0.807,280.3
27154,6.449,LH2,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,55.355,27.891,55.119,27.772,48.588,24.482,299.25,150.78,75.657,38.12,0.9981,0.9965,0.9814,0.9742,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,1398.0,480.615,917.385,17.1833,0.70954,51.4636,0.450317,1.0,-999,278.7
27155,6.449,LH2,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,45.419,27.946,45.238,27.834,39.725,24.442,245.69,151.17,61.867,38.066,0.9981,0.9968,0.9822,0.9724,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,1169.0,393.692,775.308,17.7266,0.791794,51.5079,0.415237,1.0,-999,279.1
27156,6.449,LH2,-1.165,31.278,4.978,8.275,PI+SIDIS,0.22,2.2,0.9,2.0,77.221,50.016,76.944,49.836,67.835,43.936,229.86,148.88,105.64,68.423,0.9997,0.999,0.9878,0.9827,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,1920.0,110.154,1809.85,23.9698,0.581607,51.0597,0.428925,1.0,-999,19.203
27157,6.449,LH2,-1.165,31.278,4.978,8.275,PI+SIDIS,0.22,2.2,0.9,2.0,22.714,51.665,22.629,51.472,20.008,45.511,66.739,151.8,31.211,70.991,0.9996,0.9986,0.9865,0.9835,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,588.0,33.0769,554.923,24.9773,1.0938,51.1108,0.418,1.0,1.473,9.789
27158,6.449,LH2,-1.165,31.278,4.978,8.275,PI+SIDIS,0.22,2.2,0.9,2.0,71.05,50.339,70.794,50.158,62.674,44.405,210.88,149.41,97.619,69.164,0.9998,0.9988,0.9872,0.9834,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,1740.0,102.846,1637.15,23.5466,0.60131,51.1163,0.43921,1.0,-999,19.336
27159,6.449,LH2,-1.165,31.278,4.978,8.275,HMSDIS,0.22,2.2,0.9,2.0,37708.649,50.59,37578.472,50.416,33259.579,44.62,111768.13,149.9,51816.317,69.51,0.9997,0.9986,-999,-999,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,1.0,98.9096,-999,-999,-999,-999,-999,-999,-999,1.0,-999,-999
27160,6.449,DUMMY,-1.165,31.278,4.978,8.275,PI+SIDIS,0.22,2.2,0.9,2.0,83.631,41.291,83.246,41.101,73.334,36.208,306.53,151.34,114.26,56.418,1.0,0.9984,0.9828,0.9824,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,403.0,6.38462,396.615,4.8527,0.245771,51.1225,0.45388,1.0,0.415,-999
27161,6.449,DUMMY,-1.165,31.278,4.978,8.275,HMSDIS,0.22,2.2,0.9,2.0,41727.12,41.67,41532.06,41.475,36554.818,36.5,152554.3,152.3,56958.869,56.88,0.9997,0.9987,-999,-999,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,0.99982,99.8057,-999,-999,-999,-999,-999,-999,-999,1.0,0.419,-999
27162,6.449,LH2,-1.165,31.278,2.766,8.275,PI+SIDIS,0.22,2.2,0.5,2.0,13.663,19.783,13.605,19.701,11.941,17.291,76.495,110.76,18.603,26.937,0.9999,0.998,0.9784,0.9815,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,538.0,108.462,429.538,32.2602,1.75549,51.0904,0.434611,1.0,0.568,22.998
27163,6.449,LH2,-1.165,31.278,2.766,8.275,PI+SIDIS,0.22,2.2,0.5,2.0,50.249,30.916,50.023,30.777,43.965,27.05,245.24,150.89,68.513,42.154,0.9999,0.9987,0.9763,0.9795,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,2190.0,648.385,1541.62,31.591,0.969839,51.1777,0.395895,1.0,-999,37.276
27164,6.449,LH2,-1.165,31.278,2.766,8.275,PI+SIDIS,0.22,2.2,0.5,2.0,49.332,30.9,49.117,30.765,43.43,27.203,240.91,150.9,67.77,42.449,0.9998,0.9986,0.9809,0.9792,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,2223.0,616.385,1606.62,33.5438,0.994838,51.1419,0.417855,1.0,-999,37.322
27165,6.449,LH2,-1.165,31.278,2.766,8.275,PI+SIDIS,0.22,2.2,0.5,2.0,49.382,30.722,49.141,30.572,43.582,27.113,240.97,149.91,67.953,42.275,0.9998,0.9986,0.9795,0.9797,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,2174.0,624.846,1549.15,32.3118,0.983208,51.1134,0.422118,1.0,-999,37.117
27166,6.449,LH2,-1.165,31.278,2.766,8.275,PI+SIDIS,0.22,2.2,0.5,2.0,54.028,31.046,53.756,30.889,47.411,27.243,263.26,151.27,73.787,42.399,0.9998,0.9985,0.9771,0.9789,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,2296.0,683.231,1612.77,30.776,0.924785,51.1753,0.414652,1.0,-999,37.369
27167,6.449,LH2,-1.165,31.278,2.766,8.275,PI+SIDIS,0.22,2.2,0.5,2.0,53.624,30.894,53.361,30.742,46.948,27.048,261.64,150.74,73.136,42.135,0.9999,0.9983,0.9801,0.9785,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,2401.0,679.615,1721.38,33.1022,0.952471,51.1558,0.423427,1.0,-999,37.104
27168,6.449,LH2,-1.165,31.278,2.766,8.275,PI+SIDIS,0.22,2.2,0.5,2.0,54.418,30.944,54.155,30.795,47.844,27.206,265.52,150.98,74.616,42.43,0.9999,0.9987,0.9789,0.9794,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,2423.0,687.692,1735.31,32.8501,0.941947,51.0435,0.426107,1.0,-999,37.253
27169,6.449,LH2,-1.165,31.278,2.766,8.275,PI+SIDIS,0.22,2.2,0.5,2.0,48.939,30.863,48.719,30.724,43.122,27.194,239.06,150.76,67.234,42.4,0.9999,0.9986,0.9789,0.9787,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,2151.0,614.923,1536.08,32.3471,0.987337,51.0429,0.415664,1.0,-999,37.234
27170,6.449,LH2,-1.165,31.278,2.766,8.275,PI+SIDIS,0.22,2.2,0.5,2.0,46.171,30.615,45.971,30.482,40.714,26.997,225.92,149.8,63.461,42.079,0.9998,0.9987,0.9803,0.9793,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,2130.0,584.385,1545.62,34.4763,1.04026,51.016,0.427142,1.0,-999,36.991
27171,6.449,LH2,-1.165,31.278,2.766,8.275,PI+SIDIS,0.22,2.2,0.5,2.0,15.733,31.282,15.655,31.126,13.865,27.567,76.621,152.34,21.608,42.962,0.9997,0.9986,0.968,0.9668,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-999,683.0,208.0,475.0,33.5111,1.86523,50.9805,0.414605,1.0,0.892,37.832
27172,6.449,LH2,-1.165,31.278,2.766,8.275,PI+SIDIS,0.22,2.2,0.5,2.0,32.358,31.165,32.189,31.002,28.503,27.452,158.17,152.33,44.414,42.776,0.9998,0.9987,0.9786,0.9811,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,1390.0,412.231,977.769,31.0898,1.19891,50.9993,0.440912,1.0,0.891,37.614
27173,6.449,LH2,-1.165,31.278,2.766,8.275,PI+SIDIS,0.22,2.2,0.5,2.0,30.519,31.031,30.363,30.872,26.884,27.335,148.93,151.42,41.881,42.584,0.9999,0.9985,0.9759,0.9803,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,1349.0,392.0,957.0,32.2824,1.25274,51.0169,0.414267,1.0,0.888,37.453
27174,6.449,LH2,-1.165,31.278,2.766,8.275,HMSDIS,0.22,2.2,0.5,2.0,17703.895,31.223,17614.706,31.066,15592.396,27.49,86379.412,152.3,24292.572,42.84,0.9998,0.9987,-999,-999,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.99674,95.3995,-999,-999,-999,-999,-999,-999,-999,1.0,0.893,-999
27175,6.449,LH2,-1.165,31.278,2.766,8.275,HMSDIS,0.22,2.2,0.5,2.0,18375.852,30.821,18287.378,30.672,16186.109,27.14,89913.814,150.8,25220.657,42.3,0.9998,0.9987,-999,-999,-1.0,-1.0,17.0,-1.0,-1.0,-1.0,1.0,95.4175,-999,-999,-999,-999,-999,-999,-999,1.0,0.882,-999
27176,6.449,DUMMY,-1.165,31.278,2.766,8.275,PI+SIDIS,0.22,2.2,0.5,2.0,72.616,41.1,72.302,40.922,64.069,36.263,266.77,150.99,99.851,56.515,0.9999,0.999,0.9851,0.9852,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,795.0,145.308,649.692,9.14126,0.399497,51.0267,0.420526,1.0,0.414,13.582
27177,6.449,DUMMY,-1.165,31.278,2.766,8.275,PI+SIDIS,0.22,2.2,0.5,2.0,69.443,40.568,69.107,40.371,61.245,35.779,256.09,149.6,95.446,55.758,0.9997,0.9991,0.9835,0.9838,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,722.0,141.0,581.0,8.56671,0.399158,51.0581,0.417209,1.0,0.408,13.412
27178,6.449,DUMMY,-1.165,31.278,2.766,8.275,PI+SIDIS,0.22,2.2,0.5,2.0,72.184,40.92,71.804,40.705,63.629,36.071,265.71,150.63,99.164,56.215,0.9999,0.9987,0.9859,0.9853,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,760.0,143.0,617.0,8.74069,0.393358,51.0481,0.411252,1.0,0.411,13.53
27179,6.449,DUMMY,-1.165,31.278,2.766,8.275,HMSDIS,0.22,2.2,0.5,2.0,41142.55,40.596,40934.349,40.391,36275.579,35.79,151349.76,149.3,56515.112,55.76,0.9999,0.999,-999,-999,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.99958,97.969,-999,-999,-999,-999,-999,-999,-999,1.0,0.409,-999
27180,6.449,LH2,-1.165,31.278,2.766,8.275,PI+SIDIS,0.22,2.2,0.5,2.0,51.946,30.771,51.69,30.62,45.72,27.083,253.9,150.4,71.226,42.192,0.9998,0.9991,0.9799,0.9816,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,2210.0,668.077,1541.92,30.5168,0.941162,51.0091,0.43506,1.0,-999,37.311
